epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7794,0.85913,2.72515,1.06856,0.18322,0.32943,0.20374,0.15979,0.98267,2.28577,1.18751,0.0671493,0.000331825,0.000331825
2,103.589,0.78904,2,1.02633,0.26882,0.40911,0.25369,0.18913,0.88521,2.06333,1.05641,0.0341272,0.000643009,0.000643009
3,149.303,0.75808,1.81911,1.01174,0.26989,0.48205,0.30475,0.2423,0.78957,1.85948,1.00003,0.00108282,0.000931992,0.000931992
4,195.376,0.75991,1.69851,1.00911,0.27525,0.5191,0.3405,0.27727,0.7616,1.6558,0.96723,0.0009001,0.0009001,0.0009001
5,242.423,0.73551,1.59873,0.99827,0.43979,0.55056,0.45558,0.38036,0.73964,1.43602,0.95538,0.0008668,0.0008668,0.0008668
6,289.253,0.70317,1.47562,0.98675,0.47203,0.61499,0.53996,0.42533,0.7991,1.3659,1.01005,0.0008335,0.0008335,0.0008335
7,334.302,0.68275,1.38411,0.97567,0.5007,0.63934,0.55806,0.45526,0.7218,1.24208,0.94516,0.0008002,0.0008002,0.0008002
8,381.219,0.68287,1.32151,0.9771,0.68626,0.61928,0.66082,0.55105,0.72254,1.08112,0.93999,0.0007669,0.0007669,0.0007669
9,428.901,0.67749,1.23981,0.97356,0.75901,0.61909,0.69469,0.57927,0.71063,1.01358,0.93622,0.0007336,0.0007336,0.0007336
10,475.197,0.66014,1.19434,0.97099,0.67266,0.67719,0.71323,0.59937,0.68663,0.92948,0.93236,0.0007003,0.0007003,0.0007003
11,520.079,0.65226,1.11189,0.96483,0.7694,0.66178,0.73841,0.61565,0.70149,0.88973,0.93255,0.000667,0.000667,0.000667
12,567.328,0.64687,1.08039,0.96814,0.79912,0.7254,0.80298,0.67709,0.71441,0.78607,0.93359,0.0006337,0.0006337,0.0006337
13,614.193,0.6394,1.01931,0.95453,0.80717,0.72002,0.80571,0.68228,0.67236,0.85785,0.91958,0.0006004,0.0006004,0.0006004
14,660.28,0.62712,0.99083,0.95664,0.80933,0.74102,0.81083,0.68307,0.67596,0.752,0.9192,0.0005671,0.0005671,0.0005671
15,705.878,0.62381,0.96496,0.95431,0.86567,0.76149,0.83504,0.72095,0.65062,0.66373,0.91121,0.0005338,0.0005338,0.0005338
16,751.857,0.62921,0.92747,0.95457,0.90222,0.76789,0.84561,0.71977,0.65607,0.64184,0.91519,0.0005005,0.0005005,0.0005005
17,799.471,0.61223,0.91158,0.94736,0.898,0.76041,0.85869,0.73402,0.64856,0.6324,0.90571,0.0004672,0.0004672,0.0004672
18,846.875,0.60825,0.89434,0.94609,0.87109,0.80606,0.86974,0.74427,0.63634,0.58189,0.90368,0.0004339,0.0004339,0.0004339
19,891.771,0.58352,0.84116,0.94084,0.87277,0.8164,0.87028,0.74383,0.62674,0.576,0.90049,0.0004006,0.0004006,0.0004006
20,938.231,0.58811,0.80413,0.93926,0.92689,0.78828,0.87121,0.74561,0.61944,0.54966,0.90075,0.0003673,0.0003673,0.0003673
21,985.866,0.56475,0.55675,0.89068,0.9286,0.77727,0.87636,0.74977,0.63567,0.54788,0.89642,0.000334,0.000334,0.000334
22,1030.51,0.56381,0.54554,0.89297,0.89262,0.80436,0.88153,0.75799,0.62742,0.53883,0.89686,0.0003007,0.0003007,0.0003007
23,1076.1,0.55353,0.52365,0.88177,0.92558,0.83167,0.89994,0.77201,0.61929,0.48835,0.88993,0.0002674,0.0002674,0.0002674
24,1122.11,0.54845,0.49211,0.87914,0.91941,0.8362,0.89971,0.77324,0.6036,0.48176,0.88797,0.0002341,0.0002341,0.0002341
25,1165.96,0.5432,0.47711,0.88475,0.94041,0.83099,0.90374,0.78043,0.59425,0.46598,0.88318,0.0002008,0.0002008,0.0002008
26,1212.43,0.52621,0.45471,0.87161,0.91772,0.84196,0.90698,0.78302,0.59594,0.45047,0.88181,0.0001675,0.0001675,0.0001675
27,1257.09,0.52634,0.4379,0.87197,0.94059,0.84512,0.90748,0.77972,0.60071,0.43999,0.88357,0.0001342,0.0001342,0.0001342
28,1302.83,0.51671,0.42305,0.8685,0.94569,0.84099,0.91415,0.79018,0.58627,0.42947,0.8809,0.0001009,0.0001009,0.0001009
29,1348.58,0.51441,0.41168,0.87129,0.93963,0.85061,0.91594,0.79318,0.58086,0.42297,0.87965,6.76e-05,6.76e-05,6.76e-05
30,1393.27,0.50293,0.40753,0.86884,0.94522,0.84633,0.91739,0.79527,0.57591,0.40918,0.87894,3.43e-05,3.43e-05,3.43e-05
